Name,URL,Description,Logo,Users,Active Users
me.dm,https://me.dm,Ideas and information to deepen your understanding of the world. Run by the folks at Medium.,https://media.me.dm/site_uploads/files/000/000/001/@1x/27353357aa2b8b72.png,11008,1426.0
awscommunity.social,https://awscommunity.social,"AWS (Amazon Web Services) Community-Focused Mastodon Server bringing together a global user group. Not affiliated with Amazon, but interested in AWS Technology.",https://cdn.masto.host/awscommunitysocial/site_uploads/files/000/000/003/@1x/f24f665781f24ecb.png,11002,570.0
chaos.social,https://chaos.social,chaos.social – a Fediverse instance for & by the Chaos community,https://assets.chaos.social/site_uploads/files/000/000/002/@1x/ae556eecd5ce3a0c.png,10928,5111.0
mastodon.iriseden.eu,https://mastodon.iriseden.eu,"Instance Mastodon hébergée en France chez OVH (AS16276) et maintenue par @iriseden. Vos données ne seront jamais partagées à qui que ce soit et sont sauvegardées tous les jours. Les inscriptions sont ouvertes, les sujets sont libres tant que vous respectez les quelques conditions. Vous pouvez aussi vous inscrire sur mon instance <a href=""https://peertube.iriseden.eu""> Peertube</a> ou une autre :)",https://mastodon.iriseden.eu/system/site_uploads/files/000/000/004/@1x/logo_t_low.png,10899,838.0
indieweb.social,https://indieweb.social,"INDIEWEB.SOCIAL is an instance focused on the evolution of #Openweb, #Indieweb, #Fediverse, #Mastodon, #Humanetech and #Calm technologies. ",https://cdn.masto.host/indiewebsocial/site_uploads/files/000/000/001/@1x/882c32ba24b90cac.png,10850,1415.0
framapiaf.org,https://framapiaf.org,Un service Mastodon fourni par l'association d’éducation populaire Framasoft.,https://framapiaf.org/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,10798,1343.0
social.linux.pizza,https://social.linux.pizza,"A instance dedicated - but not limited - to people with an interest in the GNU+Linux ecosystem and/or general tech. Sysadmins to enthusiasts, creators to movielovers - Welcome!

",https://cdn.social.linux.pizza/v1/AUTH_91eb37814936490c95da7b85993cc2ff/sociallinuxpizza/site_uploads/files/000/000/001/@1x/linuxpizza2.png,10784,1307.0
muenchen.social,https://muenchen.social,"Hallo auf muenchen.social 
Dies ist eine deutschsprachige Mastodon Instanz für München zum tröten, neue Leute kennenlernen, sich auszutauschen und Spass zu haben.",https://muenchen.social/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,10772,1766.0
kiwifarms.cc,https://kiwifarms.cc,,https://kiwifarms.cc/instance/thumbnail.jpeg,10572,
mstdn.plus,https://mstdn.plus,"MSTDN+ is an English-speaking general-purpose Mastodon instance, welcome!",https://files.mstdn.plus/site_uploads/files/000/000/001/@1x/310dabf1720db013.png,10563,743.0
